District,Perturbation (%),Rice_Production (old),Rice_Production (new),Percentage Change,Crop,Districts
RAICHUR,20,492342,510196.6381,3.626470636,Rice,RCR
RAMANAGARA,20,12128,1625.06111,-86.60074942,Rice,RGA
SHIVAMOGGA,20,384974,385855.3343,0.228933473,Rice,SMG
TUMAKURU,20,26042,24325.63796,-6.590745865,Rice,TKR
UDUPI,20,138156,142213.2197,2.936694547,Rice,UPI
UTTARA KANNADA,20,152981,232079.1143,51.70453475,Rice,UTK
Vijayanagara,20,206116,225643.7569,9.47415868,Rice,VNG
VIJAYAPURA,20,170,-14157.72065,-8428.070971,Rice,VJP
YADGIRI,20,224659,256860.03,14.33329177,Rice,YDR
BAGALKOT,20,251699,269051.224,6.894037732,Maize,BKT
BALLARI,20,104045,159664.9563,53.45759654,Maize,BLL
BELAGAVI,20,576758,646719.3573,12.13010608,Maize,BLG
BENGALURU,20,2879,2419.780569,-15.95065755,Maize,BLR
BENGALURU(R),20,42583,43825.37325,2.917533413,Maize,BLR(R)
BIDAR,20,2791,-1043.988383,-137.4055315,Maize,BDR
CHAMARAJANAGAR,20,147886,121913.1888,-17.56272478,Maize,CNR
CHIKKABALLAPURA,20,105491,194860.707,84.71784982,Maize,CKA
CHIKKAMAGALURU,20,61353,103112.3284,68.06403658,Maize,CMG
CHITRADURGA,20,271975,294576.5652,8.310162776,Maize,CDA
DAKSHINA KANNADA,20,0,0,0,Maize,DKA
DAVANAGERE,20,593544,586475.5072,-1.190896173,Maize,DVG
DHARAWAD,20,90634,123855.2101,36.65424687,Maize,DWD
GADAG,20,138476,165687.5834,19.6507578,Maize,GDG
HASSAN,20,333937,325710.6628,-2.463439883,Maize,HSN
HAVERI,20,413487,432595.192,4.62123162,Maize,HVR
KALABURAGI,20,14621,6333.083433,-56.68501858,Maize,KLB
KODAGU,20,17921,29342.18643,63.73074289,Maize,KDG
KOLAR,20,1759,-1118.29826,-163.5757965,Maize,KLR
KOPPAL,20,190252,179902.8508,-5.439705876,Maize,KPL
MANDYA,20,19387,16553.9216,-14.6132893,Maize,MDY
MYSURU,20,137154,140701.8343,2.586752337,Maize,MYS
RAICHUR,20,723,664.0418564,-8.154653337,Maize,RCR
RAMANAGARA,20,10450,3201.393566,-69.36465487,Maize,RGA
SHIVAMOGGA,20,226532,161499.5659,-28.70783558,Maize,SMG
TUMAKURU,20,66868,74588.23483,11.54548488,Maize,TKR
UDUPI,20,109,-5428.56409,-5080.334028,Maize,UPI
UTTARA KANNADA,20,24088,14049.15126,-41.67572544,Maize,UTK
Vijayanagara,20,104045,159678.9309,53.47102778,Maize,VNG
VIJAYAPURA,20,226327,186565.4205,-17.56819976,Maize,VJP
YADGIRI,20,2673,-1062.472435,-139.7483141,Maize,YDR
