District,Perturbation (%),Rice_Production (old),Rice_Production (new),Percentage Change,Crop,Districts
HASSAN,20,143705,127402.3251,-11.34454256,Rice,HSN
HAVERI,20,125422,116748.5805,-6.915389224,Rice,HVR
KALABURAGI,20,7888,27478.09992,248.3531937,Rice,KLB
KODAGU,20,86303,265639.8495,207.799091,Rice,KDG
KOLAR,20,864,23528.98172,2623.261773,Rice,KLR
KOPPAL,20,243505,224360.7251,-7.861963768,Rice,KPL
MANDYA,20,246543,286890.6167,16.36534671,Rice,MDY
MYSURU,20,354227,279888.3832,-20.98615203,Rice,MYS
RAICHUR,20,492342,624606.7204,26.86439922,Rice,RCR
RAMANAGARA,20,12128,25678.04992,111.7253457,Rice,RGA
SHIVAMOGGA,20,384974,276787.5012,-28.10228713,Rice,SMG
TUMAKURU,20,26042,37348.49334,43.41637869,Rice,TKR
UDUPI,20,138156,63975.07285,-53.69359792,Rice,UPI
UTTARA KANNADA,20,152981,115626.3196,-24.41785608,Rice,UTK
Vijayanagara,20,206116,261359.034,26.80191447,Rice,VNG
VIJAYAPURA,20,170,22082.21866,12889.54039,Rice,VJP
YADGIRI,20,224659,467438.6473,108.0658453,Rice,YDR
BAGALKOT,20,251699,417971.608,66.06009875,Maize,BKT
BALLARI,20,104045,163434.3548,57.08045056,Maize,BLL
BELAGAVI,20,576758,861845.0454,49.42923123,Maize,BLG
BENGALURU,20,2879,23933.59021,731.3160893,Maize,BLR
BENGALURU(R),20,42583,69425.36282,63.03539634,Maize,BLR(R)
BIDAR,20,2791,20627.53444,639.0732512,Maize,BDR
CHAMARAJANAGAR,20,147886,143910.1416,-2.688461686,Maize,CNR
CHIKKABALLAPURA,20,105491,159796.3113,51.47862026,Maize,CKA
CHIKKAMAGALURU,20,61353,159085.2539,159.2949878,Maize,CMG
CHITRADURGA,20,271975,207172.4365,-23.82666181,Maize,CDA
DAKSHINA KANNADA,20,0,0,0,Maize,DKA
DAVANAGERE,20,593544,466342.4339,-21.43085704,Maize,DVG
DHARAWAD,20,90634,129166.609,42.5145188,Maize,DWD
GADAG,20,138476,114168.784,-17.55337823,Maize,GDG
HASSAN,20,333937,314634.9903,-5.780135076,Maize,HSN
HAVERI,20,413487,396794.6964,-4.036959713,Maize,HVR
KALABURAGI,20,14621,28695.20018,96.26017492,Maize,KLB
KODAGU,20,17921,77882.15285,334.5859765,Maize,KDG
KOLAR,20,1759,20126.75063,1044.215499,Maize,KLR
KOPPAL,20,190252,208838.4982,9.769410138,Maize,KPL
MANDYA,20,19387,41631.06352,114.7370069,Maize,MDY
MYSURU,20,137154,137880.1772,0.529461216,Maize,MYS
RAICHUR,20,723,17338.38315,2298.116618,Maize,RCR
RAMANAGARA,20,10450,20152.00762,92.84217822,Maize,RGA
SHIVAMOGGA,20,226532,198869.4253,-12.21133204,Maize,SMG
TUMAKURU,20,66868,64351.26577,-3.76373487,Maize,TKR
UDUPI,20,109,16300.98624,14855.03325,Maize,UPI
UTTARA KANNADA,20,24088,34220.18038,42.06318655,Maize,UTK
Vijayanagara,20,104045,163422.892,57.06943338,Maize,VNG
VIJAYAPURA,20,226327,198726.28,-12.1950629,Maize,VJP
YADGIRI,20,2673,22715.47854,749.8121414,Maize,YDR
